"","title","author","tags"
"379","Sr Business Analyst - Analytics - BFSI - Startup (3-5 yrs)","Kunal Jain","insurance"
"380","Sr Business Analyst - Analytics - BFSI - Startup (3-5 yrs)","Kunal Jain","start-up"
"381","8 rules for new age analytics learning!","Kunal Jain","Analytics"
"382","8 rules for new age analytics learning!","Kunal Jain","career"
"383","8 rules for new age analytics learning!","Kunal Jain","learning"
"384","8 rules for new age analytics learning!","Kunal Jain","machine learning"
"385","Solving Accuracy vs. Cost using probabilities (with case study)","Tavish Srivastava","analysis"
"386","Solving Accuracy vs. Cost using probabilities (with case study)","Tavish Srivastava","Analytics"
"387","Solving Accuracy vs. Cost using probabilities (with case study)","Tavish Srivastava","business analysis"
"388","Solving Accuracy vs. Cost using probabilities (with case study)","Tavish Srivastava","case study"
"389","Solving Accuracy vs. Cost using probabilities (with case study)","Tavish Srivastava","conditional probability"
"390","Solving Accuracy vs. Cost using probabilities (with case study)","Tavish Srivastava","decision making"
"391","Solving Accuracy vs. Cost using probabilities (with case study)","Tavish Srivastava","probability"
"392","Consultant / Sr. Associate Consultant, Indus Insights","Kunal Jain","consultant"
"393","Consultant / Sr. Associate Consultant, Indus Insights","Kunal Jain","gurgaon"
"394","Consultant / Sr. Associate Consultant, Indus Insights","Kunal Jain","job"
"395","Data Mining Scientist - Videology, Baltimore, MD","Kunal Jain","data mining"
"396","Data Mining Scientist - Videology, Baltimore, MD","Kunal Jain","data scientist"
"397","Data Mining Scientist - Videology, Baltimore, MD","Kunal Jain","digital"
"398","Data Mining Scientist - Videology, Baltimore, MD","Kunal Jain","job"
"399","Excitement going up at Analytics Vidhya (and I can't stop smiling)!","Kunal Jain","anniversary"
"400","Excitement going up at Analytics Vidhya (and I can't stop smiling)!","Kunal Jain","jobs"
"401","Excitement going up at Analytics Vidhya (and I can't stop smiling)!","Kunal Jain","training"
"402","Freelancing consultant - SAS, India's leading travel portal","Kunal Jain","consultant"
"403","Freelancing consultant - SAS, India's leading travel portal","Kunal Jain","freelancing"
"404","Freelancing consultant - SAS, India's leading travel portal","Kunal Jain","SAS"
"405","The importance of context for an analyst!","Kunal Jain","Business Analytics"
"406","The importance of context for an analyst!","Kunal Jain","Business Intelligence"
"407","The importance of context for an analyst!","Kunal Jain","Dashboard"
"408","The importance of context for an analyst!","Kunal Jain","modeling"
"409","The importance of context for an analyst!","Kunal Jain","presentation"
"410","The importance of context for an analyst!","Kunal Jain","representation"
"411","Leader - Data Science, Bangalore (15+ years experience)","Kunal Jain","bangalore"
"412","Leader - Data Science, Bangalore (15+ years experience)","Kunal Jain","data scientist"
"413","Leader - Data Science, Bangalore (15+ years experience)","Kunal Jain","india"
"414","Leader - Data Science, Bangalore (15+ years experience)","Kunal Jain","job"
"415","Manager-Big Data Analytics, Bangalore (3 - 6 yrs experience)","Kunal Jain","Big data"
"416","Manager-Big Data Analytics, Bangalore (3 - 6 yrs experience)","Kunal Jain","big data analytics"
"417","Manager-Big Data Analytics, Bangalore (3 - 6 yrs experience)","Kunal Jain","Hadoop"
"418","Manager-Big Data Analytics, Bangalore (3 - 6 yrs experience)","Kunal Jain","job"
"419","Probability in action - Could Monty Hall have made more money?","Tavish Srivastava","3 doors"
"420","Probability in action - Could Monty Hall have made more money?","Tavish Srivastava","Analytics"
"421","Probability in action - Could Monty Hall have made more money?","Tavish Srivastava","conditional probability"
"422","Probability in action - Could Monty Hall have made more money?","Tavish Srivastava","Monty Hall"
"423","Probability in action - Could Monty Hall have made more money?","Tavish Srivastava","probability"
"424","Probability in action - Could Monty Hall have made more money?","Tavish Srivastava","puzzle"
"425","Probability in action - Could Monty Hall have made more money?","Tavish Srivastava","three doors"
"426","Framework to build survival analysis model on R","Tavish Srivastava","Analytics"
"427","Framework to build survival analysis model on R","Tavish Srivastava","Cox"
"428","Framework to build survival analysis model on R","Tavish Srivastava","Hazard function"
"429","Framework to build survival analysis model on R","Tavish Srivastava","Programming R"
"430","Framework to build survival analysis model on R","Tavish Srivastava","R"
"431","Framework to build survival analysis model on R","Tavish Srivastava","survival analysis"
"432","Framework to build survival analysis model on R","Tavish Srivastava","survival analysis applications"
"433","Is survival analysis the right model for you?","Tavish Srivastava","Analytics"
"434","Is survival analysis the right model for you?","Tavish Srivastava","Descriptive modelling"
"435","Is survival analysis the right model for you?","Tavish Srivastava","statistics"
"436","Is survival analysis the right model for you?","Tavish Srivastava","survival analysis"
"437","Is survival analysis the right model for you?","Tavish Srivastava","survival analysis applications"
"438","Technical Consultant - Web Analytics","Kunal Jain","job"
"439","Technical Consultant - Web Analytics","Kunal Jain","Omniture"
"440","Technical Consultant - Web Analytics","Kunal Jain","online marketing"
"441","Technical Consultant - Web Analytics","Kunal Jain","web analytics"
"442","Analytics Training recommendation - Tutorials from PyCon 2014 - USA","Kunal Jain","Analytics training"
"443","Analytics Training recommendation - Tutorials from PyCon 2014 - USA","Kunal Jain","conference"
"444","Analytics Training recommendation - Tutorials from PyCon 2014 - USA","Kunal Jain","event"
"445","Analytics Training recommendation - Tutorials from PyCon 2014 - USA","Kunal Jain","python"
"446","Analytics Training recommendation - Tutorials from PyCon 2014 - USA","Kunal Jain","training"
"447","Analytics Training recommendation - Tutorials from PyCon 2014 - USA","Kunal Jain","tutorial"
"448","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","Analytics"
"449","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","base SAS"
"450","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","big data solution"
"451","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","Business Analytics"
"452","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","interview questions"
"453","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","SAS"
"454","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","SAS EG"
"455","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","tough questioncs"
"456","Tricky Base SAS interview questions : Part-II","Tavish Srivastava","tricky questions"
"457","We just turned 1! - Analytics Vidhya Anniversary","Kunal Jain","Analytics"
"458","We just turned 1! - Analytics Vidhya Anniversary","Kunal Jain","anniversary"
"459","We just turned 1! - Analytics Vidhya Anniversary","Kunal Jain","best articles"
"460","We just turned 1! - Analytics Vidhya Anniversary","Kunal Jain","coming up"
"461","We just turned 1! - Analytics Vidhya Anniversary","Kunal Jain","job"
"462","We just turned 1! - Analytics Vidhya Anniversary","Kunal Jain","training"
"463","9 best practices for analytics talent management","Kunal Jain","career"
"464","9 best practices for analytics talent management","Kunal Jain","progression"
"465","9 best practices for analytics talent management","Kunal Jain","talanet management"
"466","Analytics events in 2014 - India and abroad","Kunal Jain","Analytics"
"467","Analytics events in 2014 - India and abroad","Kunal Jain","conference"
"468","Analytics events in 2014 - India and abroad","Kunal Jain","event"
"469","Analytics events in 2014 - India and abroad","Kunal Jain","intellingence"
"470","Building a word cloud using R","Tavish Srivastava","Mining"
"471","Building a word cloud using R","Tavish Srivastava","R"
"472","Building a word cloud using R","Tavish Srivastava","read text"
"473","Building a word cloud using R","Tavish Srivastava","Text analytics"
"474","Building a word cloud using R","Tavish Srivastava","text mining"
"475","Building a word cloud using R","Tavish Srivastava","Twitter Mining"
"476","Building a word cloud using R","Tavish Srivastava","Word Cloud"
"477","What is Hadoop? - Simplified!","Tavish Srivastava","Analytics"
"478","What is Hadoop? - Simplified!","Tavish Srivastava","Big data"
"479","What is Hadoop? - Simplified!","Tavish Srivastava","Hadoop"
"480","What is Hadoop? - Simplified!","Tavish Srivastava","Mapreduce"
"481","What is Hadoop? - Simplified!","Tavish Srivastava","R"
"482","Introduction to MapReduce","Tavish Srivastava","Analytics"
"483","Introduction to MapReduce","Tavish Srivastava","applications of map reduce"
"484","Introduction to MapReduce","Tavish Srivastava","bigdata"
"485","Introduction to MapReduce","Tavish Srivastava","Hadoop"
"486","Introduction to MapReduce","Tavish Srivastava","mapper"
"487","Introduction to MapReduce","Tavish Srivastava","Mapreduce"
"488","Introduction to MapReduce","Tavish Srivastava","reducer"
"489","Lead / Assistant Manager, Web Analytics, Policybazaar, Gurgaon","Kunal Jain","eCommerce"
"490","Lead / Assistant Manager, Web Analytics, Policybazaar, Gurgaon","Kunal Jain","google analytics"
"491","Lead / Assistant Manager, Web Analytics, Policybazaar, Gurgaon","Kunal Jain","insurance"
"492","Lead / Assistant Manager, Web Analytics, Policybazaar, Gurgaon","Kunal Jain","web analytics"
"493","Manager / Sr. Manager, Policybazaar, Gurgaon","Kunal Jain","Analytics"
"494","Manager / Sr. Manager, Policybazaar, Gurgaon","Kunal Jain","e-commerce"
"495","Manager / Sr. Manager, Policybazaar, Gurgaon","Kunal Jain","insurance"
"496","Manager / Sr. Manager, Policybazaar, Gurgaon","Kunal Jain","jobs"
"497","The lack of analytics work experience and how to overcome it?","Kunal Jain","freshers"
"498","The lack of analytics work experience and how to overcome it?","Kunal Jain","interview"
"499","The lack of analytics work experience and how to overcome it?","Kunal Jain","non-experienced"
"500","The lack of analytics work experience and how to overcome it?","Kunal Jain","shifting career"
"501","Planning a late career shift to Analytics / Big data? Better be prepared!","Kunal Jain","Analytics"
"502","Planning a late career shift to Analytics / Big data? Better be prepared!","Kunal Jain","Big data"
"503","Planning a late career shift to Analytics / Big data? Better be prepared!","Kunal Jain","career"
"504","Planning a late career shift to Analytics / Big data? Better be prepared!","Kunal Jain","career shift"
"505","4 Tricky R interview questions","Tavish Srivastava","Coding"
"506","4 Tricky R interview questions","Tavish Srivastava","programming"
"507","4 Tricky R interview questions","Tavish Srivastava","Programming R"
"508","4 Tricky R interview questions","Tavish Srivastava","R"
"509","4 Tricky R interview questions","Tavish Srivastava","SAS vs R"
"510","4 Tricky R interview questions","Tavish Srivastava","tricky questions"
"511","Comparing a CART model to Random Forest","Tavish Srivastava","Analytics"
"512","Comparing a CART model to Random Forest","Tavish Srivastava","cart"
"513","Comparing a CART model to Random Forest","Tavish Srivastava","CHAID"
"514","Comparing a CART model to Random Forest","Tavish Srivastava","data mining"
"515","Comparing a CART model to Random Forest","Tavish Srivastava","decision tree"
"516","Comparing a CART model to Random Forest","Tavish Srivastava","random forest"
"517","Part 2 : Random forest vs. CART model","Tavish Srivastava","cart"
"518","Part 2 : Random forest vs. CART model","Tavish Srivastava","CHAID"
"519","Part 2 : Random forest vs. CART model","Tavish Srivastava","comparison"
"520","Part 2 : Random forest vs. CART model","Tavish Srivastava","decision tree"
"521","Part 2 : Random forest vs. CART model","Tavish Srivastava","random forest"
"522","What is deep learning and why is it getting so much attention?","Kunal Jain","deep learning"
"523","What is deep learning and why is it getting so much attention?","Kunal Jain","image recognition"
"524","What is deep learning and why is it getting so much attention?","Kunal Jain","neural networks"
"525","What is deep learning and why is it getting so much attention?","Kunal Jain","pattern recognition"
"526","What is deep learning and why is it getting so much attention?","Kunal Jain","unsupervised learning"
"527","Introduction to Random forest - Simplified","Tavish Srivastava","cart"
"528","Introduction to Random forest - Simplified","Tavish Srivastava","CHAID"
"529","Introduction to Random forest - Simplified","Tavish Srivastava","decision tree"
"530","Introduction to Random forest - Simplified","Tavish Srivastava","machine learning"
"531","Introduction to Random forest - Simplified","Tavish Srivastava","R"
"532","Introduction to Random forest - Simplified","Tavish Srivastava","random forest"
"533","Data manipulations in Hadoop - using MapReduce","Tavish Srivastava","Analytics"
"534","Data manipulations in Hadoop - using MapReduce","Tavish Srivastava","Big data"
"535","Data manipulations in Hadoop - using MapReduce","Tavish Srivastava","Hadoop"
"536","Data manipulations in Hadoop - using MapReduce","Tavish Srivastava","hdfs"
"537","Data manipulations in Hadoop - using MapReduce","Tavish Srivastava","Mapreduce"
"538","Data manipulations in Hadoop - using MapReduce","Tavish Srivastava","tricky codes"
"539","SAS Analytics U launched by SAS as a free version - Our review","Kunal Jain","free version"
"540","SAS Analytics U launched by SAS as a free version - Our review","Kunal Jain","Review"
"541","SAS Analytics U launched by SAS as a free version - Our review","Kunal Jain","SAS"
"542","SAS Analytics U launched by SAS as a free version - Our review","Kunal Jain","SAS Analytics U"
"543","Analytics Vidhya Apprentice - programme to graduate with recognition for your knowledge!","Kunal Jain","Analytics Vidhya Apprentice"
"544","Analytics Vidhya Apprentice - programme to graduate with recognition for your knowledge!","Kunal Jain","Apprentice"
"545","Analytics Vidhya Apprentice - programme to graduate with recognition for your knowledge!","Kunal Jain","recognition"
"546","Analytics Vidhya Apprentice - programme to graduate with recognition for your knowledge!","Kunal Jain","training"
"547","Baby steps in learning Python for data analysis","Kunal Jain","installing python"
"548","Baby steps in learning Python for data analysis","Kunal Jain","ipython"
"549","Baby steps in learning Python for data analysis","Kunal Jain","logistic regression"
"550","Baby steps in learning Python for data analysis","Kunal Jain","python"
"551","Baby steps in learning Python for data analysis","Kunal Jain","python tutorial"
"552","Baby steps in learning Python for data analysis","Kunal Jain","starting python"
"553","Baby steps in Python - Libraries and data structures","Kunal Jain","data structure"
"554","Baby steps in Python - Libraries and data structures","Kunal Jain","dataframes"
"555","Baby steps in Python - Libraries and data structures","Kunal Jain","dictionary"
"556","Baby steps in Python - Libraries and data structures","Kunal Jain","python"
"557","Baby steps in Python - Libraries and data structures","Kunal Jain","string"
"558","Baby steps in Python - Libraries and data structures","Kunal Jain","tuple"
"559","The definitive guide to prepare for analytics interview","Kunal Jain","analytics interview"
"560","The definitive guide to prepare for analytics interview","Kunal Jain","case study"
"561","The definitive guide to prepare for analytics interview","Kunal Jain","guess estimates"
"562","The definitive guide to prepare for analytics interview","Kunal Jain","interview"
"563","The definitive guide to prepare for analytics interview","Kunal Jain","interview guide"
"564","Director - Sales & Business Development - Analytics (10-16 yrs)","Kunal Jain","Analytics"
"565","Director - Sales & Business Development - Analytics (10-16 yrs)","Kunal Jain","Business Analytics"
"566","Director - Sales & Business Development - Analytics (10-16 yrs)","Kunal Jain","business development"
"567","Using Facebook as an analyst (Hint - using R)","Tavish Srivastava","facebook"
"568","Using Facebook as an analyst (Hint - using R)","Tavish Srivastava","facebook mining"
"569","Using Facebook as an analyst (Hint - using R)","Tavish Srivastava","R"
"570","Using Facebook as an analyst (Hint - using R)","Tavish Srivastava","twitter"
"571","Using Facebook as an analyst (Hint - using R)","Tavish Srivastava","Twitter Mining"
"572","Using Facebook as an analyst (Hint - using R)","Tavish Srivastava","user network"
"573","How to interpret hidden state in Latent Markov Model","Tavish Srivastava","forecasting"
"574","How to interpret hidden state in Latent Markov Model","Tavish Srivastava","hidden states"
"575","How to interpret hidden state in Latent Markov Model","Tavish Srivastava","Latent-Markov"
"576","How to interpret hidden state in Latent Markov Model","Tavish Srivastava","Markov"
"577","How to interpret hidden state in Latent Markov Model","Tavish Srivastava","Markov-chain"
"578","How to interpret hidden state in Latent Markov Model","Tavish Srivastava","ownership"
"579","Introduction to Markov chain : simplified!","Tavish Srivastava","Advanced Analytics"
"580","Introduction to Markov chain : simplified!","Tavish Srivastava","Latent-Markov"
"581","Introduction to Markov chain : simplified!","Tavish Srivastava","Markov"
"582","Introduction to Markov chain : simplified!","Tavish Srivastava","Markov-chain"
"583","Introduction to Markov chain : simplified!","Tavish Srivastava","next-generation-analytics"
"584","Introduction to Markov chain : simplified!","Tavish Srivastava","predictive-model"
"585","Review: Qlik Sense Desktop - Is this the next gen visualization tool you need?","Kunal Jain","Business Inteliigence"
"586","Review: Qlik Sense Desktop - Is this the next gen visualization tool you need?","Kunal Jain","Product release"
"587","Review: Qlik Sense Desktop - Is this the next gen visualization tool you need?","Kunal Jain","Qlik Sense"
"588","Review: Qlik Sense Desktop - Is this the next gen visualization tool you need?","Kunal Jain","QlikTech"
"589","Review: Qlik Sense Desktop - Is this the next gen visualization tool you need?","Kunal Jain","Qlikview"
"590","Review: Qlik Sense Desktop - Is this the next gen visualization tool you need?","Kunal Jain","visualization"
"591","Solve a business case using simple Markov Chain","Tavish Srivastava","Advanced Analytics"
"592","Solve a business case using simple Markov Chain","Tavish Srivastava","conditional probability"
"593","Solve a business case using simple Markov Chain","Tavish Srivastava","Latent-Markov"
"594","Solve a business case using simple Markov Chain","Tavish Srivastava","Loans"
"595","Solve a business case using simple Markov Chain","Tavish Srivastava","Markov-chain"
"596","Solve a business case using simple Markov Chain","Tavish Srivastava","Next Gen analytics"
"597","Solve a business case using simple Markov Chain","Tavish Srivastava","probabilistic model"
"598","Solve a business case using simple Markov Chain","Tavish Srivastava","retail bank"
"599","Solve a business case using simple Markov Chain","Tavish Srivastava","transition probability"
"600","Using statistics: How to understand population distributions?","Kunal Jain","histogram"
"601","Using statistics: How to understand population distributions?","Kunal Jain","mean"
"602","Using statistics: How to understand population distributions?","Kunal Jain","median"
"603","Using statistics: How to understand population distributions?","Kunal Jain","mode"
"604","Using statistics: How to understand population distributions?","Kunal Jain","standard deciation"
"605","Using statistics: How to understand population distributions?","Kunal Jain","statistics"
"606","Who is the world cheering for? 2014 FIFA WC winner predicted using Twitter feed (in R)","Tavish Srivastava","2014"
"607","Who is the world cheering for? 2014 FIFA WC winner predicted using Twitter feed (in R)","Tavish Srivastava","FIFA"
"608","Who is the world cheering for? 2014 FIFA WC winner predicted using Twitter feed (in R)","Tavish Srivastava","R"
"609","Who is the world cheering for? 2014 FIFA WC winner predicted using Twitter feed (in R)","Tavish Srivastava","sentiment analysis"
"610","Who is the world cheering for? 2014 FIFA WC winner predicted using Twitter feed (in R)","Tavish Srivastava","twitter"
"611","Author identification data mining challenge on Analytics Vidhya data","Kunal Jain","classification challenge"
"612","Author identification data mining challenge on Analytics Vidhya data","Kunal Jain","data mining challenge"
"613","Author identification data mining challenge on Analytics Vidhya data","Kunal Jain","Predictive modeling"
"614","Author identification data mining challenge on Analytics Vidhya data","Kunal Jain","text mining"
"615","Performing exploratory analysis in Python (using Pandas)","Kunal Jain","data exploration"
"616","Performing exploratory analysis in Python (using Pandas)","Kunal Jain","data mining"
"617","Performing exploratory analysis in Python (using Pandas)","Kunal Jain","kaggle"
"618","Performing exploratory analysis in Python (using Pandas)","Kunal Jain","pandas"
"619","Performing exploratory analysis in Python (using Pandas)","Kunal Jain","python"
"620","Performing exploratory analysis in Python (using Pandas)","Kunal Jain","statistics"
"621","Performing exploratory analysis in Python (using Pandas)","Kunal Jain","titanic survival"
"622","A Big Data Course with a ‘Big’ Difference","Kunal Jain","Big data"
"623","A Big Data Course with a ‘Big’ Difference","Kunal Jain","Hadoop"
"624","A Big Data Course with a ‘Big’ Difference","Kunal Jain","jigsaw academy"
"625","A Big Data Course with a ‘Big’ Difference","Kunal Jain","R"
"626","A Big Data Course with a ‘Big’ Difference","Kunal Jain","Wiley"
"627","Step by step guide to extract inforation from unstructured data","Tavish Srivastava","Hadoop"
"628","Step by step guide to extract inforation from unstructured data","Tavish Srivastava","R"
"629","Step by step guide to extract inforation from unstructured data","Tavish Srivastava","SAS"
"630","Step by step guide to extract inforation from unstructured data","Tavish Srivastava","Text analytics"
"631","Step by step guide to extract inforation from unstructured data","Tavish Srivastava","text mining"
"632","Step by step guide to extract inforation from unstructured data","Tavish Srivastava","unstructured data"
"633","Visualizing a market Basket analysis","Tavish Srivastava","market basket analysis"
"634","Visualizing a market Basket analysis","Tavish Srivastava","R"
"635","Visualizing a market Basket analysis","Tavish Srivastava","Retail"
"636","Visualizing a market Basket analysis","Tavish Srivastava","strategy"
"637","Visualizing a market Basket analysis","Tavish Srivastava","Text analytics"
"638","Visualizing a market Basket analysis","Tavish Srivastava","text mining"
"639","Visualizing a market Basket analysis","Tavish Srivastava","transactions analysis"
